workout_id,id,movement,type,rest,plan,notes
1,1,power clean,strength,,,
1,2,strict press,strength,,,
1,3,db inc curl,hypertrophy,,,
1,4,hanging leg raises,abs,,,
3,5,deadlift,strength,,3x5 @ 80%,
3,6,pull ups,hypertrophy,,,
3,7,ttb,abs,,,
4,8,snatch,strength,,3x3 @ 80%,
4,9,strict press,strength,,,
5,10,pause squat,strength,,"6, 6, 5, 5, 4",32x1
6,11,clean,strength,,5x2 @ 80%,
6,12,clean pull,strength,,3x3 @ 100%,
6,13,pull up,strength,,RPE 7,
6,14,ring row,strength,,RPE 7,
7,15,snatch,strength,,5x2 @ 80%,
7,16,snatch pull,strength,,3x3 @ 100%,
7,17,front squat,strength,,5x3 @ 75%,
8,18,clean + jerk,strength,,5x2 @ 80%,
8,19,bench,strength,,,
8,20,strict hspu,strength,,,
8,21,ghd sit up,abs,,,
9,22,back squat,strength,,3RM @ RPE 9,
9,23,decline bench,hypertrophy,,,Bench Club
9,24,floor bench,hypertrophy,,,Bench Club
9,25,decline push up,hypertrophy,,,Bench Club
10,26,pause squat,strength,,"5, 5, 4, 4, 3",32x1
11,27,snatch,strength,,5x2 @ 80%,Little fried going into ot
12,28,clean,strength,,5x2 @ 80%,
12,29,clean pull,strength,,3x3,
13,30,seated press,strength,,"5, 5, 4, 4, 3",
13,31,barbell row,hypertrophy,,4x8,
15,32,deadlift,strength,,1rm,Legs fried to start but wanted to see.
15,33,deadlift,strength,,triples after 1rm,
16,34,split jerk,strength,,"2, 2, 2, 1, 1, 1 ",Not heavy my tech is ass
17,35,segmented clean deadlift + hang power clean,strength,,"6 times 2x segments, 1x hang ","Pause right above knee. Then get to ""power"" position through only moving up chest but keeping legs where they are. Explode thru legs don't be flat footed and get bar up."
18,36,snatch,technique,,,"hands ripped like a mf, went light"
18,37,front squat,strength,,5x3,
20,38,pause squat,strength,,"4,4,4,3,3,4","3 secs down, 2 sec hold, explode"
20,39,ghd back extension,prehab,,,
