lift_id,movement,set_number,weight,reps,rpe,set_type,notes
1,power clean,1,115,8,,,
1,power clean,2,135,6,,,
1,power clean,3,145,4,,,
1,power clean,4,155,4,,,
2,strict press,1,95,10,,,
2,strict press,2,105,5,,,
2,strict press,3,105,5,,,
3,db inc curl,1,25,10,,,
3,db inc curl,2,25,8,,,
3,db inc curl,3,25,5,,,
4,hanging leg raises,1,0,11,,normal,
4,hanging leg raises,2,0,8,,drop,
4,hanging leg raises,3,0,6,,drop,
5,deadlift,1,275,5,,,
5,deadlift,2,275,5,,,
5,deadlift,3,275,3,,,
6,pull ups,1,0,10,,,
6,pull ups,2,0,10,,,
7,ttb,1,0,10,,,
7,ttb,2,0,10,,,
7,ttb,3,0,10,,,
8,snatch,1,75,4,,warm,
8,snatch,2,85,3,,warm,
8,snatch,3,105,2,,,
8,snatch,4,105,2,,,
9,strict press,1,105,6,,,
9,strict press,2,105,5,,,
9,strict press,3,105,5,,,
10,pause squat,1,155,6,,,32x1 tempo
10,pause squat,2,155,6,,,
10,pause squat,3,160,5,,,
10,pause squat,4,165,5,,,
10,pause squat,5,170,4,,,
11,clean,1,135,2,8,,
11,clean,2,135,2,8,,
11,clean,3,145,2,8.5,,
11,clean,4,145,2,8.5,,
11,clean,5,145,2,8.5,,
12,clean pull,1,165,3,7,,
12,clean pull,2,185,3,7.5,,
12,clean pull,3,185,4,8.5,,
13,pull up,1,0,9,7,,
13,pull up,2,0,9,7,,
13,pull up,3,0,9,7.5,,
14,ring row,1,0,7,7,,
14,ring row,2,0,7,7,,
14,ring row,3,0,7,7.5,,
15,snatch,1,95,2,8,,
15,snatch,2,100,2,8,,
15,snatch,3,105,2,8.5,,
15,snatch,4,105,2,8.5,,
15,snatch,5,110,2,8.5,,
16,snatch pull,1,145,3,7.5,,
16,snatch pull,2,145,3,8,,tried narrower grip
16,snatch pull,3,145,3,8,,"Even narrower, index on ring. Feels better coming up, maybe a little harder on snatch though."
17,front squat,1,155,3,7.5,,
17,front squat,2,155,3,8,,
17,front squat,3,155,3,7.5,,
17,front squat,4,165,3,8,,
17,front squat,5,165,3,8.5,,
18,clean + jerk,1,135,2,7.5,,
18,clean + jerk,2,135,2,7.5,,
18,clean + jerk,3,145,2,8.5,,
18,clean + jerk,4,145,2,8,,
18,clean + jerk,5,145,2,8,,
19,bench,1,175,5,7.5,,
19,bench,2,185,4,8,,
19,bench,3,185,5,8.5,,
20,strict hspu,1,0,4,9,,
20,strict hspu,2,0,3,9.5,,
20,strict hspu,3,0,2,9,,
21,ghd sit up,1,0,15,,,
21,ghd sit up,2,0,15,,,
21,ghd sit up,3,0,15,,,
22,back squat,1,235,3,8.5,,3rm attempt at RPE 9
23,decline bench,1,135,10,6,,bench club
23,decline bench,2,155,10,8,,
23,decline bench,3,155,10,8.5,,
24,floor bench,1,115,10,8,,
24,floor bench,2,135,5,9.5,,
24,floor bench,3,115,5,9,,
25,decline push up,1,0,10,8,,
25,decline push up,2,0,10,9,,
25,decline push up,3,0,5,9,,
26,pause squat,1,165,5,8,,32x1 tempo
26,pause squat,2,165,5,8,,
26,pause squat,3,175,4,8.5,,
26,pause squat,4,185,4,8.5,,
26,pause squat,5,195,3,9,,
27,snatch,1,105,2,8.5,,
27,snatch,2,105,2,8.5,,
27,snatch,3,110,1,NA,,tech fail
27,snatch,4,110,2,NA,,"tech fail, then hit 2"
27,snatch,5,110,0,NA,,"tech fail, fried cns"
28,clean,1,135,2,7,,
28,clean,2,145,2,8,,
28,clean,3,155,2,8.5,,
28,clean,4,165,1,NA,,"tech fail, first felt good"
29,clean pull,1,185,3,7.5,,
29,clean pull,2,185,2,7,,Jules said more shrug
29,clean pull,3,195,4,8.5,,
29,clean pull,4,195,3,8.5,,
30,seated press,1,95,5,7.5,,
30,seated press,2,105,5,8.5,,
30,seated press,3,110,4,9,,
30,seated press,4,110,4,9,,
30,seated press,5,115,3,9.5,,
31,barbell row,1,95,8,6,,
31,barbell row,2,105,8,7,,
31,barbell row,3,110,8,8,,
31,barbell row,4,110,8,8.5,,
32,deadlift,1,305,1,9.5,,"Tried to jump to 325, failed. Very sore tho going into this"
33,deadlift,1,265,3,8,,
33,deadlift,2,265,3,8,,
33,deadlift,3,265,3,8,,
33,deadlift,4,265,3,8,,
33,deadlift,5,275,3,8.5,,
33,deadlift,6,285,3,9,,
34,split jerk,,95,2,6,,Land in split like a square. More of a 3 point position than a split. Weight back. Form a steady base it's not a lunge. Don't grip in press position.
34,split jerk,,115,2,6,,
34,split jerk,,125,2,6,,
34,split jerk,,125,1,7,,
34,split jerk,,125,1,7,,
34,split jerk,,135,1,7,,
35,segmented clean deadlift + hang power clean,1,145,1,6,,
35,segmented clean deadlift + hang power clean,2,155,1,7,,
35,segmented clean deadlift + hang power clean,3,165,1,7.5,,
35,segmented clean deadlift + hang power clean,4,175,0,NA,,Tech fail
35,segmented clean deadlift + hang power clean,5,175,1,8.5,,
35,segmented clean deadlift + hang power clean,6,175,1,8.5,,
36,snatch,1,75,3,6,,
36,snatch,2,75,3,6,,
36,snatch,3,75,4,6,,
36,snatch,4,85,3,6.5,,
36,snatch,5,85,3,6.5,,
37,front squat,1,165,3,7,,
37,front squat,2,165,3,7,,
37,front squat,3,165,3,7,,
37,front squat,4,165,3,7.5,,
37,front squat,5,165,3,7.5,,
38,pause squat,1,185,4,8,,
38,pause squat,2,195,4,8.5,,
38,pause squat,3,195,4,8.5,,
38,pause squat,4,205,3,8.5,,
38,pause squat,5,215,3,9.5,,
38,pause squat,6,215,3,9.5,,
39,ghd back extension,1,0,15,7,,
39,ghd back extension,2,35,12,7,,
39,ghd back extension,3,35,12,7,,
40,db rotator cuff,1,15,8,7.5,,
40,db rotator cuff,2,15,8,7.5,,
40,db rotator cuff,3,15,8,7.5,,
41,sa kb overhead squat,1,15,5,NA,,
41,sa kb overhead squat,2,15,5,NA,,
41,sa kb overhead squat,3,15,5,NA,,
42,clean,1,165,1,7,,
42,clean,2,165,1,7,,
42,clean,3,165,1,7,,
42,clean,4,175,1,8,,
42,clean,5,175,1,8,,
42,clean,6,175,1,8,,Jules said loosen grip then they started looking better
42,clean,7,175,1,8,,
42,clean,8,185,1,9,,
43,seated strict press,1,105,4,7.5,,
43,seated strict press,2,115,4,8.5,,
43,seated strict press,3,120,3,9.5,,
43,seated strict press,4,125,2,9.5,,
44,sa db row,1,55,8,7,,
44,sa db row,2,55,8,7,,
44,sa db row,3,55,8,7,,
44,sa db row,4,55,8,7,,
45,deadlift,1,285,3,8,,
45,deadlift,2,285,3,8.5,,
45,deadlift,3,295,3,8.5,,
45,deadlift,4,295,3,9,,
45,deadlift,5,295,3,9.5,,
46,split jerk,1,135,2,7,,
46,split jerk,2,145,2,7.5,,
46,split jerk,3,145,2,7.5,,
46,split jerk,4,155,1,7.5,,
46,split jerk,5,165,1,8,,
46,split jerk,6,175,1,8.5,,"Muscled it the whole way, my form sucks"
47,segment clean + hang power,1,155,1,6,,
47,segment clean + hang power,2,165,1,6,,
47,segment clean + hang power,3,175,1,7,,
47,segment clean + hang power,4,175,1,7,,
47,segment clean + hang power,5,185,1,7,,
47,segment clean + hang power,6,195,1,8,,
48,snatch,1,95,1,7,,
48,snatch,2,95,1,7,,
48,snatch,3,95,1,7,,
48,snatch,4,105,1,7.5,,
48,snatch,5,105,1,7.5,,
48,snatch,6,115,1,8,,
48,snatch,7,115,1,8,,
48,snatch,8,115,1,8,,
48,snatch,9,120,1,8.5,,
49,front squat,1,165,3,8,,
49,front squat,2,175,3,8.5,,
49,front squat,3,175,3,8.5,,
49,front squat,4,175,3,8.5,,
49,front squat,5,185,3,8.5,,
49,front squat,6,195,3,9,,
49,front squat,7,195,3,9,,
50,pull ups,1,0,8,7.5,,
51,ring pull ups,1,0,4,7,,
51,ring pull ups,2,0,7,7.5,,
51,ring pull ups,3,0,7,8,,
52,dips,1,0,8,7,,
52,dips,2,0,8,7,,
52,dips,3,0,8,7,,
53,v-ups,1,0,15,NA,,
53,v-ups,2,0,15,NA,,
53,v-ups,3,0,15,NA,,
54,db bench,1,50,10,7.5,,
54,db bench,2,50,11,7,,
54,db bench,3,50,11,7.5,,
55,pause squat,1,205,3,7,,
55,pause squat,2,215,3,7.5,,
55,pause squat,3,235,3,9,,
55,pause squat,4,245,2,9,,
55,pause squat,5,250,2,9.5,,
56,ghd back extensions,1,26,15,8,,
56,ghd back extensions,2,26,15,8,,
56,ghd back extensions,3,26,15,8,,
57,snatch balance,1,75,3,5,,
57,snatch balance,2,75,3,5,,
58,clean,1,165,2,8,,
58,clean,2,175,1,8,,
58,clean,3,175,1,8,,
58,clean,4,185,1,8.5,,
58,clean,5,185,1,NA,,couldn't stand it up didn't want a grinder so dropped
59,strict press,1,105,3,8,,
59,strict press,2,115,3,8.5,,
59,strict press,3,125,2,9,,
59,strict press,4,130,1,F,,poor technique off bar should've gotten easy
59,strict press,5,130,2,9.5,,
60,sa db row,1,50,8,6.5,,
60,sa db row,2,50,8,6.5,,
60,sa db row,3,50,8,7,,
60,sa db row,4,50,10,7,,
61,deadlift,1,245,5,8.5,,"I clean deadlift, must switch into standard deadlift, hips higher"
61,deadlift,2,255,5,8.5,,
61,deadlift,3,265,4,8.5,,
61,deadlift,4,275,4,9,,
61,deadlift,5,275,4,9.5,,
62,power snatch,1,95,20,NA,,
63,snatch,1,95,2,7.5,,
63,snatch,2,95,3,8,,
64,split jerk,1,145,2,7.5,,
64,split jerk,2,155,2,8.5,,
64,split jerk,3,155,1,8,,"jules says im not getting under at all, video on phone to show"
64,split jerk,4,165,1,9,,
64,split jerk,5,165,1,9,,
64,split jerk,6,175,1,9,,technique limited
65,squat,1,275,1,9.5,,
65,squat,2,285,F,NA,,
65,squat,3,285,1,10,,
65,squat,4,290,F,NA,,
66,bench,1,205,2,8.5,,
66,bench,2,225,1,9.5,,
66,bench,3,235,F,NA,,
66,bench,4,235,F,NA,,
67,deadlift,1,295,1,8.5,,
67,deadlift,2,315,1,9,,
67,deadlift,3,335,1,9.5,,
67,deadlift,4,350,1,10,,GRINDER LFG PR
68,squat,1,205,5,7.5,,
