id,datetime,type,desc,notes
1,1/1/2026 7:00:00,Strength,Az Lift,
2,1/2/2026 15:00:00,Cardio,az run,
3,1/3/2026 14:30:00,Crossfit,cf golden gate open gym,
4,1/4/2026 10:30:00,Strength,crossfit open gym,
5,1/5/2026 12:00:00,Crossfit,first crossfit class,
6,1/8/2026 7:00:00,Strength,Heavy cleans + Pull Accessories,
7,1/9/2026 10:30:00,Strength,Heavy Snatch + Front Squat,
8,1/10/2026 9:00:00,Strength,Heavy Cleans + Push Accessories,
9,1/11/2026 9:00:00,Strength,3RM Squat + Bench Club Workout at CF Golden Gate,
10,1/12/2026 12:00:00,Crossfit,A: Backsquat B: 12 min AMRAP,
11,1/12/2026 18:30:00,Strength,Heavy Snatch + DU Tech,was a little fried
12,1/13/2026 7:00:00,Strength,Heavy Cleans,
13,1/13/2026 12:00:00,Crossfit,Heavy Press + Upper Accesory WOD,
14,1/14/2026 7:00:00,Cardio,Handstand Technique + Zone 2,
15,1/15/2026 7:30:00,Strength,1RM Deadlift + Back Off,
16,1/15/2026 12:00:00,CrossFit,Split Jerk + for time wod,
17,1/16/2026 12:00:00,CrossFit,Clean Work + for time wod,
18,1/17/2026 10:00:00,Strength,Snatch Work + Front Squat,
19,1/18/2026 17:00:00,Cardio,Short Run to Marina,
20,1/19/2026 7:00:00,Strength,Tempo Pause Squats + Accessories,
21,1/19/2026 16:00:00,Cardio,DU Tech + Row Bike Zone 2,
22,1/20/2026 7:00:00,Strength,Clean Singles,
23,1/20/2026 12:00:00,CrossFit,Strict Press + 6 Min AMRAP,
24,1/21/2026 17:00:00,Cardio,Row/Bike + DU Practice,
25,1/22/2026 7:00:00,Strength,Heavy Deadlift,
26,1/22/2026 12:00:00,CrossFit,Split Jerk Singles + For Time WOD,
27,1/23/2026 12:00:00,CrossFit,Segmented Cleans + 23.1 (14 min amrap),
28,1/24/2026 8:00:00,Strength,Heavy Snatches + Front Squats,
29,1/24/2026 13:00:00,CrossFit,Row/DU/TTB Tech Piece + Upper Hypertrophy,
30,1/26/2026 18:00:00,Strength,Heavy Tempo Squats,
31,1/27/2026 7:00:00,Strength,Heavy Cleans,
32,1/27/2026 12:00:00,CrossFit,Strict Press + 9 Min AMRAP,
33,1/27/2026 18:00:00,Cardio,Row/Bike Zone 2 + Handstands,
34,1/28/2026 12:00:00,CrossFit,Heavy Deadlift + For Time Strength WOD,
35,1/29/2026 11:30:00,Strength Endurance,20 snatches for time @ 95 lbs,
36,1/29/2026 12:00:00,CrossFit,Push Jerk + For Time WOD,
37,1/29/2026 4:00:00,Cadio,Zone 2 + Shoulder Mobility,
38,1/31/2026 11:00:00,Strength,Crossfit Golden Gate Powerlifting Comp,Sore coming in from deadlifts on wednesday but decently fresh (meh)
39,02/01/2026 16:30:00,Cardio,Arizona Run with Syd,
40,02/02/2026 8:00:00,Strength,5x5 Leg Endurance in AZ,
41,02/02/2026 17:00:00,Cardio,Arizona Run with Syd,
42,02/03/2026 8:30:00,Strength,Shoulder Strength with Dad,
43,02/04/2026 9:00:00,CrossFit,Metcon w/ Mom at AZ Gym,
44,02/05/2026 8:30:00,Strength,Heavy Front Squats,
45,02/06/2026 12:00:00,CrossFit,Split Jerk + Strength Endurance EMOM,
46,02/07/2026 7:45:00,Strength,Heavy Cleans + Accessories,
47,02/08/2026 13:00:00,Strength,Upper Strength + Hypertrophy,
48,2/10/2026 12:00:00,CrossFit,Strict Press + AMRAP,
49,2/10/2026 17:30:00,Strength Endurance,20 Power Cleans for time -> Zone 2 Row,
50,2/11/2026 12:00:00,CrossFit,Heavy Deadlifts + 1 min sprint intervals wod,
51,2/11/2026 4:30:00,Cardio,Muscle Up Technique -> Zone 2 Row,
52,2/12/2026 12:00:00,CrossFit,Upper Hypertrophy Work -> EMOM Brutal Wod,
53,2/13/2026 12:00:00,CrossFit,Clean Complex -> Heavy Chipper,
54,2/13/2026 5:00:00,Technique,"Flight Simulator Attempt, DUs, TTBs, Wall Walks",
55,2/14/2026 9:30:00,CrossFit,Partner Long Wod -> Heavy Front Squats,
56,2/15/2026 9:30:00,Strength,Bench Club,
57,2/16/2026 8:00:00,Strength,Heavy Squat,
58,2/16/2026 15:00:00,Cardio,Zone 2 @ Arjun's + Sauna,
59,2/17/2026 18:00:00,Cardio,Hella DUs -> 20 Min Row,
60,2/18/2026 12:00:00,CrossFit,Deadlifts -> 3x4min Heavy metcon,
61,2/18/2026 19:00:00,Cardio,45 min zone 2 bike,
62,2/19/2026 12:00:00,CrossFit,Upper Hypertrophy Work -> For Time Wod,
63,2/20/2026 12:00:00,CrossFit,Clean Complex -> 4x3 min burner,
64,2/21/2026 9:30:00,CrossFit,Partner Long Wod,
65,2/22/2026 9:30:00,Bench Club,Upper Hypertrophy,
66,2/23/2026 5:30:00,CrossFit,Heavy Squats + 21.3,
67,2/24/2026 12:00:00,CrossFit,Heavy Press + EMOM w/ wall walks and DUs,
68,02/26/2026 4:30:00,Technique,26.1 Prep + 15 min bike + roll + stretch,
69,02/27/2026 5:00:00,Comp,26.1 Friday Night Lights. Wall Balls + Box Jump Overs,
70,02/28/2026 9:30:00,CrossFit,Duo Wod,
71,03/01/2026 10:30:00,Recovery,"Stretch, Foam Roll, 15 min bike, Mobility",
72,03/02/2026 10:30:00,Comp,26.1 Solo. Wall Balls + Box Jump Overs,
73,03/03/2026 11:00:00,Strength,Snatch Technique + Snatch Balance,
74,03/03/2026 12:00:00,CrossFit,"Strict Press + AMRAP w/ MUs, DB Clean + Row",
75,03/04/2026 12:00:00,CrossFit,Squat Clean Complex -> 16.1 -> RMU Work,
76,03/05/2026 6:00:00,Technique,RMU Work,
77,03/06/2026 5:00:00,Comp,26.2 Attempt 1,
78,03/09/2026 10:30:00,Comp,26.2 Attempt 2,
79,03/09/2026 3:30:00,CrossFit,EMOM Snatch Workout in Vegas @ PVC Crossfit,
80,03/10/2026 12:00:00,CrossFit,Power Clean Triples -> 6x 1 min work wod,
81,03/11/2026 12:00:00,CrossFit,1RM Back Squat -> Run Lunge Wod (first W),
82,03/12/2026 4:30:00,Recovery,"20 min bike, foam roll, stretch",
83,03/13/2026 5:00:00,CrossFit,26.3,
84,03/14/2026 9:30:00,CrossFit,Saturday Morning Duo Workout 6x5min w/ 1 min rest,
85,03/15/2026 9:30:00,Hypertrophy,Bench Club,
86,03/15/2026 10:30:00,Hyrox,Sunday Morning Post Bench Club,
87,3/17/2026,Stregnth,Juggernaut Week 1 Squat Cycle,
88,03/18/2026,Hypetrophy,Upper,
89,03/19/2026,Strength,Front Squat,
90,03/21/2026,Strength,Upper,
91,3/23/2026,Strength,Juggernaut Week 2 Squat Cycle,
92,3/24/2026,Hypetrophy,Upper,
93,3/27/2026,Strength,Front Squat,
94,3/30/2026,Strength,Juggernaut Week 3 Squat Cycle,
